"Постановление администрации от 30.12.2010 №234 О присвоении адреса потребительскому гаражному кооперативу «Приозерный», расположенному в районе станции «Фрязино-товарная» в г. Фрязино",Postanovlenie-administratsii-ot-30122010-234-O-prisvoenii-adresa-potrebitelskomu-garazhnomu-kooperativu-Priozernyy-raspolozhennomu-v-rayone-stantsii-Fryazino-tovarnaya-v-g-Fryazino,№234,3,4,2,2010-12-30,,2010-12-30 00:00,True,uploads/olddocs/glava/2010/12/30/234.doc
"Постановление администрации от 30.12.2010 №232 Об утверждении Порядка осуществления бюджетным учреждением города Фрязино полномочий исполнительного органа местного самоуправления по исполнению публичных обязательств перед физическими лицами, подлежащих исполнению в денежной форме и финансового их осуществления",Postanovlenie-administratsii-ot-30122010-232-Ob-utverzhdenii-Poryadka-osuschestvleniya-byudzhetnym-uchrezhdeniem-goroda-Fryazino-polnomochiy-ispolnitelnogo-organa-mestnogo-samoupravleniya-po-ispolneniyu-publichnyh-obyazatelstv-pered-fizicheskimi-litsami-podlezhaschih-ispolneniyu-v-denezhnoy-forme-i-finansovogo-ih-osuschestvleniya,№232,3,4,2,2010-12-30,,2010-12-30 00:00,True,uploads/olddocs/glava/2010/12/30/232.doc
Постановление администрации от 30.12.2010 №226 О предоставлении Кикалейшвили Эмиру Ражденовичу в аренду земельного участка для размещения торгового павильона в районе жилого дома № 2а по ул. Москов-ская в г. Фрязино,Postanovlenie-administratsii-ot-30122010-226-O-predostavlenii-Kikaleyshvili-Emiru-Razhdenovichu-v-arendu-zemelnogo-uchastka-dlya-razmescheniya-torgovogo-pavilona-v-rayone-zhilogo-doma-2a-po-ul-Moskov-skaya-v-g-Fryazino,№226,3,4,2,2010-12-30,,2010-12-30 00:00,True,uploads/olddocs/glava/2010/12/30/226_.doc
Постановление администрации от 30.12.2010 №225 О предоставлении Шкарубо ИвануАндреевичу в аренду земельного участка для размещения торгового павильона в районе жилого дома № 6 по ул. Полевая в г. Фрязино,Postanovlenie-administratsii-ot-30122010-225-O-predostavlenii-Shkarubo-IvanuAndreevichu-v-arendu-zemelnogo-uchastka-dlya-razmescheniya-torgovogo-pavilona-v-rayone-zhilogo-doma-6-po-ul-Polevaya-v-g-Fryazino,№225,3,4,2,2010-12-30,,2010-12-30 00:00,True,uploads/olddocs/glava/2010/12/30/225.doc
Постановление администрации от 30.12.2010 №224 О предоставлении Осиповой ГалинеАлександровне в аренду земельного участка для размещения торгового павильона в районе жилого дома № 6 по ул. Полевая в г. Фрязино,Postanovlenie-administratsii-ot-30122010-224-O-predostavlenii-Osipovoy-GalineAleksandrovne-v-arendu-zemelnogo-uchastka-dlya-razmescheniya-torgovogo-pavilona-v-rayone-zhilogo-doma-6-po-ul-Polevaya-v-g-Fryazino,№224,3,4,2,2010-12-30,,2010-12-30 00:00,True,uploads/olddocs/glava/2010/12/30/224_.doc
"Постановление администрации от 30.12.2010 №218 Об установлении тарифов на платные услуги, предоставляемые МУ УФСК «Импульс» г. Фрязино",Postanovlenie-administratsii-ot-30122010-218-Ob-ustanovlenii-tarifov-na-platnye-uslugi-predostavlyaemye-MU-UFSK-Impuls-g-Fryazino,№218,3,4,2,2010-12-30,,2010-12-30 00:00,True,uploads/olddocs/glava/2010/12/30/218_10_.doc
"Постановление администрации от 30.12.2010 №216 Об утверждении стоимости услуг, предоставляемых согласно гарантированному перечню услуг по погребению в городе Фрязино с 01.01.2011",Postanovlenie-administratsii-ot-30122010-216-Ob-utverzhdenii-stoimosti-uslug-predostavlyaemyh-soglasno-garantirovannomu-perechnyu-uslug-po-pogrebeniyu-v-gorode-Fryazino-s-01012011,№216,3,4,2,2010-12-30,,2010-12-30 00:00,True,uploads/olddocs/glava/2010/12/30/216_10_.doc
"Постановление администрации от 30.12.2010 №212 О внесении изменений в постановление администрации города от 25.11.2010 № 81 «О проведении аукциона на право заключения договоров аренды имущества, находящегося в собственности муниципального образования городской округ Фрязино Московской области»",Postanovlenie-administratsii-ot-30122010-212-O-vnesenii-izmeneniy-v-postanovlenie-administratsii-goroda-ot-25112010-81-O-provedenii-auktsiona-na-pravo-zaklyucheniya-dogovorov-arendy-imuschestva-nahodyaschegosya-v-sobstvennosti-munitsipalnogo-obrazovaniya-gorodskoy-okrug-Fryazino-Moskovskoy-oblasti,№212,3,4,2,2010-12-30,,2010-12-30 00:00,True,uploads/olddocs/glava/2010/12/30/212_.doc
"Постановление администрации от 28.12.2010 №209 Об утверждении административного регламента администрации города Фрязино по предоставлению муниципальной услуги «Принятие на учет малоимущих граждан в качестве нуждающихся в жилых помещениях, предоставляемых по договорам социального найма в городе Фрязино Московской области»",Postanovlenie-administratsii-ot-28122010-209-Ob-utverzhdenii-administrativnogo-reglamenta-administratsii-goroda-Fryazino-po-predostavleniyu-munitsipalnoy-uslugi-Prinyatie-na-uchet-maloimuschih-grazhdan-v-kachestve-nuzhdayuschihsya-v-zhilyh-pomescheniyah-predostavlyaemyh-po-dogovoram-sotsialnogo-nayma-v-gorode-Fryazino-Moskovskoy-oblasti,№209,3,4,2,2010-12-28,,2010-12-28 00:00,True,uploads/olddocs/glava/2010/12/28/28_12_2010_209.doc
"Постановление администрации от 27.12.2010 №204 О внесении изменений в постановление Главы города от 13.07.2010 № 402 «Об утверждении порядка формирования и ведения Реестра муниципальных услуг (функций), предоставляемых (исполняемых) администрацией и бюджетными учреждениями города Фрязино»",Postanovlenie-administratsii-ot-27122010-204-O-vnesenii-izmeneniy-v-postanovlenie-Glavy-goroda-ot-13072010-402-Ob-utverzhdenii-poryadka-formirovaniya-i-vedeniya-Reestra-munitsipalnyh-uslug-funktsiy-predostavlyaemyh-ispolnyaemyh-administratsiey-i-byudzhetnymi-uchrezhdeniyami-goroda-Fryazino,№204,3,4,2,2010-12-27,,2010-12-27 00:00,True,uploads/olddocs/glava/2010/12/27/27_12_2010_204.doc
